feature,gini_importance
氧化铅(PbO),0.25525287172926464
氧化钡(BaO),0.21415302008271406
氧化钾(K2O),0.20168391685498324
氧化钙(CaO),0.08148033265675245
氧化铁(Fe2O3),0.03835366915173705
氧化铝(Al2O3),0.03825506181423431
氧化锶(SrO),0.03520726838057855
氧化镁(MgO),0.03214292039943329
氧化锡(SnO2),0.022652286231841
五氧化二磷(P2O5),0.0188384143370012
氧化铜(CuO),0.016667429955462276
二氧化硅(SiO2),0.015722438652671054
二氧化硫(SO2),0.015336177330538128
氧化钠(Na2O),0.014254192422788806
